CANTON_NAME,CANTON_ID,POP_T_2010,POP_T_2011,POP_M_2010,POP_M_2011,POP_W_2010,POP_W_2011
Canton Name,Canton Id,Pop Total 2010,Pop Total 2011,Pop Man 2010,Pop Man 2011,Pop Woman 2010,Pop Woman 2011 
Aargau,AG,611466,618298,305195,308895,306271,309403
Appenzell Ausserrhoden,AR,53017,53313,26653,26792,26364,26521
Appenzell Innerrhoden,AI,15688,15743,8047,8067,7641,7676
Basel-Landschaft,BL,274404,275360,134274,134661,140130,140699
Basel-Stadt,BS,184950,186255,88414,89255,96536,97000
Bern / Berne,BE,979802,985046,477906,480824,501896,504222
Fribourg / Freiburg,FR,278493,284668,138602,141710,139891,142958
Genève,GE,457715,460534,220785,222179,236930,238355
Glarus,GL,38608,39217,19383,19813,19225,19404
Graubünden / Grigioni / Grischun,GR,192621,193388,95748,96142,96873,97246
Jura,JU,70032,70542,34502,34717,35530,35825
Luzern,LU,377610,381966,186664,189074,190946,192892
Neuchâtel,NE,172085,173183,83589,84160,88496,89023
Nidwalden,NW,41024,41311,20862,21036,20162,20275
Obwalden,OW,35585,35885,17974,18189,17611,17696
Schaffhausen,SH,76356,77139,37476,37885,38880,39254
Schwyz,SZ,146730,147904,74861,75556,71869,72348
Solothurn,SO,255284,256990,126366,127111,128918,129879
St. Gallen,SG,478907,483156,237858,240277,241049,242879
Thurgau,TG,248444,251973,124349,126369,124095,125604
Ticino,TI,333753,336943,161891,163410,171862,173533
Uri,UR,35422,35382,17988,17966,17434,17416
Valais / Wallis,VS,312684,317022,154458,156733,158226,160289
Vaud,VD,713281,725944,347880,354368,365401,371576
Zug,ZG,113105,115104,56917,58020,56188,57084
Zürich,ZH,1373068,1392396,678784,689044,694284,703352
